,win_0,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,win_10,win_11,win_12,win_13,win_14,win_15,win_16,win_17,win_18,win_19
260,0.048,0.055,0.045,0.053,0.045,0.06,0.035,0.036,0.039,0.038,0.09,0.049,0.056,0.036,0.038,0.048,0.052,0.069,0.057,0.051
261,0.065,0.056,0.044,0.051,0.045,0.051,0.043,0.04,0.034,0.038,0.123,0.033,0.057,0.043,0.048,0.046,0.045,0.044,0.052,0.042
262,0.056,0.049,0.056,0.051,0.049,0.041,0.031,0.041,0.036,0.037,0.116,0.042,0.057,0.046,0.042,0.056,0.044,0.045,0.053,0.052
263,0.051,0.043,0.055,0.045,0.045,0.039,0.048,0.044,0.043,0.048,0.112,0.035,0.043,0.051,0.043,0.05,0.044,0.05,0.058,0.053
264,0.049,0.042,0.047,0.043,0.047,0.042,0.048,0.037,0.042,0.042,0.111,0.047,0.046,0.053,0.06,0.048,0.055,0.052,0.037,0.052
265,0.054,0.056,0.042,0.048,0.041,0.047,0.044,0.036,0.038,0.052,0.118,0.041,0.045,0.039,0.048,0.039,0.052,0.051,0.054,0.055
266,0.048,0.045,0.042,0.053,0.045,0.056,0.048,0.04,0.049,0.039,0.097,0.046,0.052,0.042,0.037,0.041,0.052,0.048,0.072,0.048
267,0.06,0.051,0.045,0.059,0.054,0.05,0.035,0.037,0.045,0.049,0.115,0.036,0.036,0.053,0.036,0.04,0.049,0.065,0.041,0.044
268,0.044,0.055,0.054,0.039,0.037,0.049,0.034,0.038,0.053,0.043,0.102,0.046,0.047,0.049,0.048,0.044,0.053,0.058,0.057,0.05
269,0.047,0.044,0.057,0.036,0.04,0.05,0.043,0.037,0.044,0.037,0.14,0.049,0.037,0.046,0.036,0.048,0.047,0.05,0.057,0.055
270,0.06,0.055,0.051,0.058,0.044,0.035,0.042,0.045,0.061,0.037,0.109,0.035,0.042,0.052,0.04,0.036,0.045,0.06,0.049,0.044
271,0.054,0.049,0.047,0.043,0.049,0.049,0.042,0.043,0.049,0.038,0.098,0.045,0.05,0.043,0.046,0.047,0.052,0.056,0.054,0.046
272,0.039,0.052,0.049,0.044,0.053,0.039,0.056,0.042,0.044,0.041,0.103,0.042,0.044,0.039,0.051,0.054,0.054,0.06,0.05,0.044
273,0.049,0.051,0.05,0.05,0.035,0.038,0.043,0.039,0.039,0.039,0.114,0.04,0.059,0.033,0.057,0.053,0.057,0.048,0.049,0.057
274,0.054,0.042,0.057,0.046,0.05,0.041,0.035,0.048,0.046,0.046,0.116,0.048,0.044,0.048,0.042,0.04,0.056,0.053,0.042,0.046
275,0.059,0.054,0.041,0.052,0.043,0.045,0.037,0.039,0.042,0.036,0.099,0.04,0.057,0.05,0.045,0.043,0.057,0.055,0.054,0.052
276,0.046,0.05,0.051,0.045,0.049,0.046,0.043,0.048,0.044,0.046,0.117,0.063,0.042,0.044,0.046,0.04,0.042,0.061,0.048,0.029
277,0.051,0.051,0.042,0.039,0.045,0.043,0.046,0.043,0.055,0.037,0.105,0.04,0.056,0.036,0.055,0.05,0.041,0.048,0.064,0.053
278,0.044,0.039,0.05,0.044,0.041,0.039,0.054,0.042,0.047,0.048,0.119,0.042,0.047,0.053,0.041,0.047,0.035,0.057,0.043,0.068
279,0.054,0.057,0.043,0.049,0.039,0.055,0.042,0.04,0.045,0.032,0.097,0.045,0.039,0.056,0.048,0.051,0.044,0.062,0.051,0.051
280,0.05,0.038,0.034,0.069,0.048,0.034,0.044,0.04,0.044,0.042,0.119,0.051,0.049,0.054,0.039,0.043,0.046,0.048,0.054,0.054
281,0.053,0.049,0.054,0.048,0.04,0.05,0.036,0.038,0.046,0.039,0.092,0.05,0.052,0.055,0.05,0.049,0.046,0.059,0.036,0.058
282,0.05,0.058,0.046,0.056,0.047,0.048,0.045,0.043,0.047,0.044,0.106,0.044,0.05,0.045,0.038,0.043,0.04,0.049,0.048,0.053
283,0.053,0.049,0.055,0.053,0.046,0.041,0.03,0.039,0.061,0.043,0.119,0.033,0.059,0.04,0.04,0.045,0.047,0.048,0.052,0.047
284,0.055,0.061,0.042,0.035,0.049,0.058,0.041,0.047,0.051,0.04,0.103,0.042,0.049,0.044,0.037,0.049,0.044,0.053,0.049,0.051
285,0.057,0.043,0.052,0.045,0.043,0.053,0.042,0.039,0.045,0.045,0.091,0.046,0.044,0.042,0.044,0.045,0.047,0.059,0.065,0.053
286,0.061,0.053,0.047,0.043,0.048,0.045,0.051,0.041,0.049,0.037,0.109,0.051,0.043,0.043,0.044,0.042,0.045,0.047,0.047,0.054
287,0.062,0.042,0.054,0.055,0.048,0.039,0.044,0.035,0.04,0.04,0.114,0.039,0.053,0.038,0.058,0.053,0.036,0.062,0.039,0.049
288,0.054,0.054,0.04,0.048,0.044,0.039,0.042,0.044,0.042,0.046,0.118,0.042,0.047,0.041,0.047,0.058,0.052,0.051,0.049,0.042
289,0.06,0.056,0.056,0.043,0.048,0.044,0.046,0.034,0.053,0.035,0.106,0.036,0.055,0.048,0.035,0.046,0.045,0.043,0.05,0.061
290,0.051,0.044,0.047,0.048,0.046,0.037,0.049,0.045,0.035,0.054,0.119,0.047,0.05,0.04,0.051,0.036,0.041,0.055,0.051,0.054
291,0.055,0.053,0.046,0.059,0.037,0.044,0.038,0.047,0.04,0.044,0.087,0.039,0.064,0.049,0.051,0.047,0.053,0.049,0.05,0.048
292,0.035,0.057,0.055,0.053,0.053,0.047,0.039,0.048,0.044,0.04,0.105,0.047,0.046,0.049,0.047,0.035,0.056,0.048,0.041,0.055
293,0.065,0.051,0.043,0.053,0.041,0.039,0.04,0.037,0.04,0.041,0.118,0.04,0.048,0.046,0.039,0.058,0.043,0.054,0.052,0.052
294,0.054,0.047,0.048,0.044,0.051,0.042,0.06,0.04,0.04,0.042,0.115,0.036,0.039,0.049,0.042,0.058,0.049,0.043,0.044,0.057
295,0.051,0.044,0.054,0.058,0.047,0.042,0.039,0.053,0.04,0.029,0.116,0.036,0.046,0.047,0.045,0.044,0.056,0.054,0.055,0.044
296,0.058,0.063,0.045,0.049,0.051,0.05,0.036,0.035,0.049,0.031,0.102,0.033,0.053,0.041,0.046,0.043,0.049,0.061,0.048,0.057
297,0.051,0.049,0.046,0.063,0.037,0.034,0.048,0.044,0.03,0.039,0.103,0.053,0.058,0.05,0.04,0.036,0.049,0.056,0.061,0.053
298,0.049,0.048,0.039,0.038,0.05,0.05,0.045,0.045,0.046,0.038,0.11,0.042,0.06,0.043,0.043,0.051,0.048,0.063,0.046,0.046
299,0.061,0.039,0.045,0.045,0.042,0.036,0.06,0.042,0.05,0.043,0.107,0.048,0.044,0.047,0.051,0.026,0.047,0.054,0.054,0.059
300,0.059,0.039,0.049,0.05,0.05,0.039,0.045,0.04,0.05,0.049,0.098,0.057,0.046,0.045,0.04,0.037,0.047,0.054,0.055,0.051
301,0.045,0.041,0.059,0.053,0.044,0.05,0.049,0.036,0.041,0.041,0.117,0.05,0.059,0.046,0.043,0.042,0.042,0.045,0.043,0.054
