,win_0,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,win_10,win_11,win_12,win_13,win_14,win_15,win_16,win_17,win_18,win_19
8959,0.06,0.049,0.042,0.036,0.051,0.047,0.053,0.041,0.046,0.046,0.093,0.049,0.057,0.047,0.05,0.049,0.042,0.044,0.045,0.053
8960,0.059,0.057,0.056,0.044,0.037,0.041,0.05,0.044,0.049,0.036,0.11,0.046,0.051,0.046,0.037,0.054,0.056,0.043,0.037,0.047
8961,0.064,0.051,0.065,0.05,0.036,0.057,0.028,0.042,0.047,0.036,0.097,0.05,0.041,0.049,0.046,0.038,0.046,0.049,0.057,0.051
8962,0.057,0.041,0.059,0.037,0.045,0.043,0.044,0.043,0.045,0.036,0.108,0.055,0.044,0.055,0.042,0.05,0.05,0.052,0.038,0.056
8963,0.059,0.035,0.052,0.051,0.045,0.042,0.038,0.048,0.043,0.041,0.094,0.033,0.044,0.043,0.052,0.053,0.045,0.06,0.058,0.064
8964,0.056,0.056,0.047,0.044,0.047,0.052,0.033,0.039,0.045,0.042,0.099,0.033,0.05,0.051,0.05,0.054,0.055,0.042,0.056,0.049
8965,0.063,0.058,0.047,0.039,0.053,0.043,0.046,0.049,0.038,0.048,0.106,0.052,0.041,0.046,0.043,0.043,0.039,0.041,0.05,0.055
8966,0.047,0.047,0.042,0.048,0.046,0.042,0.039,0.045,0.037,0.044,0.118,0.037,0.045,0.049,0.062,0.041,0.053,0.062,0.042,0.054
8967,0.059,0.063,0.052,0.058,0.04,0.042,0.035,0.046,0.037,0.038,0.1,0.04,0.041,0.048,0.045,0.051,0.039,0.059,0.053,0.054
8968,0.052,0.058,0.047,0.044,0.042,0.03,0.048,0.04,0.034,0.043,0.111,0.049,0.043,0.051,0.054,0.047,0.048,0.048,0.059,0.052
8969,0.043,0.035,0.065,0.05,0.05,0.047,0.041,0.048,0.055,0.053,0.096,0.042,0.045,0.05,0.041,0.038,0.049,0.054,0.05,0.048
8970,0.047,0.06,0.061,0.038,0.04,0.044,0.039,0.043,0.038,0.048,0.126,0.041,0.047,0.047,0.043,0.053,0.042,0.043,0.051,0.049
8971,0.053,0.046,0.052,0.033,0.046,0.046,0.029,0.044,0.042,0.054,0.133,0.044,0.046,0.051,0.034,0.042,0.045,0.053,0.06,0.047
8972,0.05,0.058,0.052,0.055,0.048,0.04,0.034,0.04,0.051,0.025,0.104,0.056,0.051,0.046,0.042,0.052,0.048,0.055,0.04,0.053
8973,0.063,0.056,0.05,0.048,0.049,0.044,0.042,0.048,0.046,0.042,0.104,0.044,0.041,0.047,0.047,0.044,0.042,0.047,0.046,0.05
8974,0.051,0.054,0.049,0.041,0.047,0.04,0.04,0.047,0.036,0.043,0.112,0.054,0.064,0.04,0.06,0.027,0.047,0.051,0.045,0.052
8975,0.049,0.042,0.05,0.057,0.041,0.033,0.036,0.035,0.056,0.045,0.122,0.038,0.042,0.063,0.044,0.041,0.054,0.048,0.047,0.057
8976,0.051,0.044,0.066,0.04,0.037,0.053,0.046,0.043,0.05,0.044,0.093,0.055,0.057,0.033,0.04,0.05,0.035,0.047,0.067,0.049
8977,0.053,0.046,0.053,0.039,0.043,0.041,0.044,0.03,0.052,0.041,0.131,0.04,0.042,0.049,0.038,0.042,0.063,0.048,0.054,0.051
8978,0.055,0.046,0.054,0.057,0.046,0.046,0.041,0.043,0.051,0.043,0.086,0.05,0.046,0.036,0.036,0.058,0.047,0.057,0.052,0.05
8979,0.051,0.048,0.05,0.043,0.036,0.041,0.04,0.043,0.05,0.036,0.105,0.041,0.032,0.06,0.053,0.048,0.068,0.054,0.053,0.048
8980,0.049,0.047,0.045,0.043,0.046,0.036,0.037,0.046,0.055,0.039,0.137,0.043,0.038,0.034,0.051,0.045,0.048,0.05,0.053,0.058
8981,0.05,0.043,0.052,0.03,0.042,0.047,0.048,0.051,0.047,0.039,0.104,0.045,0.046,0.042,0.053,0.037,0.049,0.057,0.06,0.058
8982,0.043,0.057,0.06,0.044,0.048,0.048,0.042,0.035,0.039,0.047,0.102,0.045,0.043,0.051,0.041,0.049,0.047,0.056,0.053,0.05
8983,0.055,0.052,0.051,0.053,0.05,0.048,0.042,0.041,0.055,0.04,0.108,0.042,0.057,0.03,0.033,0.047,0.053,0.043,0.051,0.049
8984,0.049,0.046,0.056,0.057,0.047,0.041,0.032,0.047,0.04,0.047,0.113,0.033,0.045,0.056,0.05,0.037,0.055,0.054,0.053,0.042
